TIME	TYPE	COMMAND	ARG	HOST		ARG
0:00	PEPPER	start_animation	bplot/	B_PLOT	bplot/	
0:00	PEPPER	start_animation	aplot/	A_PLOT	aplot/	
0:01	PEPPER	start_animation	bplot/0wakeup	B_PLOT	bplot/	0wakeup
0:01	PEPPER	start_animation	aplot/0wakeup	A_PLOT	aplot/	0wakeup
0:10	PEPPER	start_animation	aplot/1hello	A_PLOT	aplot/	1hello
0:14	PEPPER	start_animation	bplot/1howareyou	B_PLOT	bplot/	1howareyou
0:20	PEPPER	start_animation	aplot/2great	A_PLOT	aplot/	2great
0:23	PEPPER	start_animation	bplot/2weather	B_PLOT	bplot/	2weather
0:25	PEPPER	start_animation	bplot/3laugh	B_PLOT	bplot/	3laugh
0:25	PEPPER	start_animation	aplot/3laugh	A_PLOT	aplot/	3laugh
0:27	PEPPER	start_animation	aplot/4allstop	A_PLOT	aplot/	4allstop
0:27	PEPPER	start_animation	bplot/4allstop	B_PLOT	bplot/	4allstop
0:33	PEPPER	start_animation	bplot/6heartsbreak(ADD MOVE)	B_PLOT	bplot/	6heartsbreak(ADD MOVE)
0:33	PEPPER	start_animation	aplot/5movewallscreen	A_PLOT	aplot/	5movewallscreen
0:45	PEPPER	start_animation	aplot/6.0itsablend	A_PLOT	aplot/	6.0itsablend
0:48	PEPPER	start_animation	aplot/6normal	A_PLOT	aplot/	6normal
0:50	PEPPER	start_animation	aplot/7turnwallscreens	A_PLOT	aplot/	7turnwallscreens
0:50	PEPPER	start_animation	bplot/7fever	B_PLOT	bplot/	7fever
0:53	PEPPER	start_animation	aplot/7zturnsc3	A_PLOT	aplot/	7zturnsc3
0:53	PEPPER	start_animation	bplot/8turnscreen	B_PLOT	bplot/	8turnscreen
0:55	PEPPER	start_animation	bplot/9liberty	B_PLOT	bplot/	9liberty
0:57	PEPPER	start_animation	aplot/8reachout	A_PLOT	aplot/	8reachout
1:02	PEPPER	start_animation	aplot/9thatswhat	A_PLOT	aplot/	9thatswhat
1:06	PEPPER	start_animation	bplot/10aplotlisten	B_PLOT	bplot/	10aplotlisten
1:11	PEPPER	start_animation	bplot/12bplotmovetocplot	B_PLOT	bplot/	12bplotmovetocplot
1:16	PEPPER	start_animation	bplot/13cplotbad	B_PLOT	bplot/	13cplotbad
1:18	PEPPER	start_animation	aplot/10cplotsobad	A_PLOT	aplot/	10cplotsobad
1:25	PEPPER	start_animation	aplot/11movetocentre	A_PLOT	aplot/	11movetocentre
1:31	PEPPER	start_animation	aplot/12makehappen	A_PLOT	aplot/	12makehappen
1:36	PEPPER	start_animation	aplot/13user2dying	A_PLOT	aplot/	13user2dying
1:36	PEPPER	start_animation	bplot/14user2dying	B_PLOT	bplot/	14user2dying
1:40	PEPPER	start_animation	aplot/14screenschange	A_PLOT	aplot/	14screenschange
1:40	PEPPER	start_animation	bplot/15screenschange	B_PLOT	bplot/	15screenschange
1:43	PEPPER	start_animation	aplot/15whatfacts	A_PLOT	aplot/	15whatfacts
1:43	PEPPER	start_animation	bplot/16movetwardsscreen	B_PLOT	bplot/	16movetwardsscreen
1:45	PEPPER	start_animation	bplot/17checkscreens	B_PLOT	bplot/	17checkscreens
1:46	PEPPER	start_animation	bplot/18bplotanxious	B_PLOT	bplot/	18bplotanxious
1:46	PEPPER	start_animation	aplot/16checkscreen	A_PLOT	aplot/	16checkscreen
1:52	PEPPER	start_animation	aplot/17summitdon'tknow	A_PLOT	aplot/	17summitdon'tknow
1:56	PEPPER	start_animation	aplot/17zAplotmoves5cm	A_PLOT	aplot/	17zAplotmoves5cm
1:57	PEPPER	start_animation	aplot/18anyonelsein	A_PLOT	aplot/	18anyonelsein
1:59	PEPPER	start_animation	bplot/19screensconfirmed	B_PLOT	bplot/	19screensconfirmed
2:02	PEPPER	start_animation	aplot/19happenedfast	A_PLOT	aplot/	19happenedfast
2:04	PEPPER	start_animation	bplot/20nowhere	B_PLOT	bplot/	20nowhere
2:06	PEPPER	start_animation	aplot/20possibilitysummit (ADD TURN)	A_PLOT	aplot/	20possibilitysummit (ADD TURN)
2:06	PEPPER	start_animation	bplot/23possibilitysummit (ADDTURN)	B_PLOT	bplot/	23possibilitysummit (ADDTURN)
2:11	PEPPER	start_animation	aplot/21noserious	A_PLOT	aplot/	21noserious
2:16	PEPPER	start_animation	bplot/25affectingtravel(ADD MOVE)	B_PLOT	bplot/	25affectingtravel(ADD MOVE)
2:18	PEPPER	start_animation	aplot/24wheresee	A_PLOT	aplot/	24wheresee
2:20	PEPPER	start_animation	aplot/25Aplotanxious	A_PLOT	aplot/	25Aplotanxious
2:20	PEPPER	start_animation	bplot/26bplotanxious	B_PLOT	bplot/	26bplotanxious
2:29	PEPPER	start_animation	aplot/26Aplotshakebody	A_PLOT	aplot/	26Aplotshakebody
2:29	PEPPER	start_animation	bplot/27bplotshakebody	B_PLOT	bplot/	27bplotshakebody
2:30	PEPPER	start_animation	aplot/28Aplotshit (ADD TURN)	A_PLOT	aplot/	28Aplotshit (ADD TURN)
2:30	PEPPER	start_animation	bplot/28turnstoAplot	B_PLOT	bplot/	28turnstoAplot
2:31	PEPPER	start_animation	bplot/29bplotshit	B_PLOT	bplot/	29bplotshit
2:33	PEPPER	start_animation	bplot/31whattheysay (ADD MOVE)	B_PLOT	bplot/	31whattheysay (ADD MOVE)
2:33	PEPPER	start_animation	aplot/29movestocentre	A_PLOT	aplot/	29movestocentre
2:35	PEPPER	start_animation	aplot/30theusers	A_PLOT	aplot/	30theusers
2:36	PEPPER	start_animation	aplot/31Aplotinnocent	A_PLOT	aplot/	31Aplotinnocent
2:38	PEPPER	start_animation	bplot/32carefulthefountain	B_PLOT	bplot/	32carefulthefountain
2:40	PEPPER	start_animation	aplot/32firewall	A_PLOT	aplot/	32firewall
2:40	PEPPER	start_animation	bplot/33bplotalienated	B_PLOT	bplot/	33bplotalienated
2:42	PEPPER	start_animation	aplot/33aplotconfident	A_PLOT	aplot/	33aplotconfident
2:55	PEPPER	start_animation	aplot/39Aplotwhausted	A_PLOT	aplot/	39Aplotwhausted
2:58	PEPPER	start_animation	bplot/38Bplothappy (ADD TURN)	B_PLOT	bplot/	38Bplothappy (ADD TURN)
2:59	PEPPER	start_animation	bplot/39shesbackrequest	B_PLOT	bplot/	39shesbackrequest
3:01	PEPPER	start_animation	aplot/40Aplotenthusiastic	A_PLOT	aplot/	40Aplotenthusiastic
3:04	PEPPER	start_animation	bplot/40Bplotlistening	B_PLOT	bplot/	40Bplotlistening
3:15	PEPPER	start_animation	aplot/42aplotturn	A_PLOT	aplot/	42aplotturn
3:17	PEPPER	start_animation	bplot/41Bplotdontunderstand	B_PLOT	bplot/	41Bplotdontunderstand
